채널,상품,월,매출,수량
쿠팡,코엔자임Q10,2026-06,46790.0,2.0
쿠팡,오메가3,2026-06,63840.0,16.0
쿠팡,오메가3,2026-06,31920.0,4.0
쿠팡,오메가3,2026-06,83650.0,7.0
쿠팡,오메가3,2026-06,47820.0,3.0
쿠팡,오메가3,2026-06,1393000.0,70.0
쿠팡,오메가3,2026-06,4419650.0,185.0
쿠팡,루테인,2026-06,11950.0,1.0
쿠팡,루테인,2026-06,21400.0,1.0
쿠팡,루테인,2026-06,79600.0,4.0
쿠팡,루테인,2026-06,47780.0,2.0
쿠팡,멀티비타민,2026-06,15960.0,4.0
쿠팡,멀티비타민,2026-06,15960.0,2.0
쿠팡,멀티비타민,2026-06,79600.0,4.0
쿠팡,밀크씨슬,2026-06,15960.0,2.0
쿠팡,밀크씨슬,2026-06,19900.0,1.0
쿠팡,밀크씨슬,2026-06,47780.0,2.0
쿠팡,비타민C,2026-06,19900.0,1.0
쿠팡,세트/기획전,2026-06,11950.0,1.0
쿠팡,올리브오일,2026-06,31920.0,8.0
쿠팡,올리브오일,2026-06,95760.0,12.0
쿠팡,올리브오일,2026-06,95600.0,8.0
쿠팡,올리브오일,2026-06,31880.0,2.0
쿠팡,올리브오일,2026-06,64200.0,3.0
쿠팡,올리브오일,2026-06,1452700.0,73.0
쿠팡,올리브오일,2026-06,1743970.0,73.0
쿠팡,칼마디아K,2026-06,11970.0,3.0
쿠팡,칼마디아K,2026-06,23900.0,2.0
쿠팡,칼마디아K,2026-06,15940.0,1.0
쿠팡,칼마디아K,2026-06,47780.0,2.0
쿠팡,코엔자임Q10,2026-06,354460.0,25.0
쿠팡,MSM,2026-06,39800.0,2.0
쿠팡,MSM,2026-06,23890.0,1.0
쿠팡,마그네슘,2026-06,159250.0,8.0
쿠팡,혈당컷,2026-06,7980.0,2.0
쿠팡,혈당컷,2026-06,7980.0,1.0
쿠팡,혈당컷,2026-06,15940.0,1.0
쿠팡,혈당컷,2026-06,39800.0,2.0
쿠팡,혈당컷,2026-06,334460.0,14.0
GS SHOP,루테인,2026-06,205598.0,7.0
GS SHOP,세트/기획전,2026-06,949660.0,85.0
GS SHOP,코엔자임Q10,2026-06,842951.0,74.0
GS SHOP,코엔자임Q10,2026-06,607303.0,30.0
GS SHOP,코엔자임Q10,2026-06,677638.0,23.0
GS SHOP,MSM,2026-06,866463.0,42.0
GS SHOP,루테인,2026-06,641691.0,47.0
GS SHOP,멀티비타민,2026-06,745148.0,51.0
GS SHOP,밀크씨슬,2026-06,681669.0,47.0
GS SHOP,비타민C,2026-06,358364.0,24.0
GS SHOP,오메가3,2026-06,3762893.0,234.0
GS SHOP,올리브오일,2026-06,15853156.0,1444.0
