채널,상품,주차,매출,수량
네이버,MSM,1주차,43240.0,2.0
네이버,오메가3,1주차,382830.0,22.0
네이버,오메가3,2주차,20400.0,1.0
네이버,오메가3,3주차,20400.0,1.0
네이버,오메가3,1주차,508880.0,25.0
네이버,오메가3,2주차,125950.0,5.0
네이버,루테인,1주차,18230.0,1.0
네이버,루테인,1주차,43240.0,2.0
네이버,멀티비타민,1주차,59530.0,3.0
네이버,멀티비타민,2주차,24390.0,1.0
네이버,비타민C,3주차,20400.0,1.0
네이버,올리브오일,1주차,18230.0,1.0
네이버,올리브오일,2주차,40800.0,2.0
네이버,올리브오일,1주차,120820.0,6.0
네이버,올리브오일,2주차,75170.0,3.0
네이버,코엔자임Q10,3주차,21400.0,1.0
네이버,코엔자임Q10,1주차,84480.0,4.0
네이버,코엔자임Q10,3주차,25390.0,1.0
네이버,혈당컷,1주차,18230.0,1.0
네이버,혈당컷,1주차,79980.0,4.0
네이버,마그네슘,1주차,20620.0,2.0
네이버,마그네슘,2주차,25390.0,1.0
네이버,세트/기획전,2주차,116150.0,5.0
네이버,세트/기획전,3주차,157830.0,7.0
네이버,세트/기획전,1주차,19900.0,1.0
네이버,세트/기획전,2주차,39800.0,2.0
네이버,세트/기획전,3주차,137700.0,7.0
네이버,세트/기획전,3주차,20400.0,1.0
네이버,세트/기획전,3주차,11950.0,1.0
네이버,MSM,1주차,15790.0,4.0
네이버,MSM,2주차,11970.0,3.0
네이버,MSM,3주차,3990.0,1.0
네이버,MSM,3주차,11950.0,1.0
네이버,MSM,2주차,19900.0,1.0
네이버,MSM,1주차,43240.0,3.0
네이버,오메가3,1주차,91770.0,25.0
네이버,오메가3,2주차,291060.0,76.0
네이버,오메가3,3주차,175550.0,45.0
네이버,오메가3,1주차,114040.0,10.0
네이버,오메가3,2주차,59750.0,5.0
네이버,오메가3,3주차,59750.0,8.0
네이버,오메가3,1주차,71920.0,4.0
네이버,오메가3,2주차,318400.0,18.0
네이버,오메가3,3주차,298500.0,15.0
네이버,오메가3,1주차,757440.0,37.0
네이버,오메가3,2주차,676810.0,31.0
네이버,오메가3,3주차,487690.0,23.0
네이버,루테인,1주차,27760.0,7.0
네이버,루테인,2주차,51870.0,13.0
네이버,루테인,3주차,7980.0,2.0
네이버,루테인,1주차,35850.0,3.0
네이버,루테인,2주차,11950.0,1.0
네이버,루테인,3주차,59750.0,5.0
네이버,루테인,1주차,18230.0,1.0
네이버,루테인,3주차,19900.0,1.0
네이버,루테인,1주차,42240.0,2.0
네이버,루테인,2주차,94560.0,4.0
네이버,루테인,3주차,46780.0,2.0
네이버,멀티비타민,1주차,47880.0,12.0
네이버,멀티비타민,2주차,67830.0,17.0
네이버,멀티비타민,1주차,11700.0,1.0
네이버,멀티비타민,2주차,11950.0,1.0
네이버,멀티비타민,3주차,35850.0,3.0
네이버,멀티비타민,2주차,19900.0,1.0
네이버,멀티비타민,3주차,19900.0,1.0
네이버,멀티비타민,1주차,84480.0,4.0
네이버,멀티비타민,2주차,46780.0,2.0
네이버,멀티비타민,3주차,92560.0,7.0
네이버,밀크씨슬,1주차,15960.0,4.0
네이버,밀크씨슬,2주차,15960.0,4.0
네이버,밀크씨슬,3주차,31920.0,8.0
네이버,밀크씨슬,1주차,23560.0,2.0
네이버,밀크씨슬,2주차,23900.0,2.0
네이버,밀크씨슬,2주차,19900.0,1.0
네이버,밀크씨슬,3주차,19900.0,1.0
네이버,밀크씨슬,1주차,148340.0,7.0
네이버,밀크씨슬,2주차,93560.0,4.0
네이버,밀크씨슬,3주차,71670.0,3.0
네이버,세트/기획전,3주차,11950.0,1.0
네이버,비타민C,1주차,7980.0,2.0
네이버,비타민C,2주차,15960.0,4.0
네이버,비타민C,1주차,11950.0,1.0
네이버,비타민C,2주차,11950.0,1.0
네이버,비타민C,3주차,11950.0,2.0
네이버,비타민C,2주차,19900.0,1.0
네이버,비타민C,1주차,43240.0,5.0
네이버,비타민C,2주차,45780.0,2.0
네이버,비타민C,3주차,47780.0,2.0
네이버,세트/기획전,1주차,11950.0,1.0
네이버,세트/기획전,1주차,11950.0,1.0
네이버,올리브오일,1주차,202290.0,51.0
네이버,올리브오일,2주차,118700.0,31.0
네이버,올리브오일,3주차,35910.0,9.0
네이버,올리브오일,1주차,83650.0,8.0
네이버,올리브오일,2주차,83650.0,7.0
네이버,올리브오일,3주차,154350.0,13.0
네이버,올리브오일,1주차,251570.0,16.0
네이버,올리브오일,2주차,273700.0,15.0
네이버,올리브오일,3주차,318400.0,17.0
네이버,올리브오일,1주차,1215350.0,59.0
네이버,올리브오일,2주차,495690.0,22.0
네이버,올리브오일,3주차,540470.0,23.0
네이버,세트/기획전,1주차,23900.0,2.0
네이버,세트/기획전,1주차,11590.0,1.0
네이버,칼마디아K,1주차,15960.0,4.0
