채널,상품명,상품,주차,매출,수량
네이버,"(쇼핑백 포함), 클라리온 MSM 엠에스엠 60정, 6개",MSM,1주차,43240.0,2.0
네이버,"(쇼핑백 포함), 클라리온 rTG 알티지 오메가3 30캡슐, 5개",오메가3,1주차,382830.0,22.0
네이버,"(쇼핑백 포함), 클라리온 rTG 알티지 오메가3 30캡슐, 5개",오메가3,2주차,20400.0,1.0
네이버,"(쇼핑백 포함), 클라리온 rTG 알티지 오메가3 30캡슐, 5개",오메가3,3주차,20400.0,1.0
네이버,"(쇼핑백 포함), 클라리온 rTG 알티지 오메가3 30캡슐, 6개",오메가3,1주차,508880.0,25.0
네이버,"(쇼핑백 포함), 클라리온 rTG 알티지 오메가3 30캡슐, 6개",오메가3,2주차,125950.0,5.0
네이버,"(쇼핑백 포함), 클라리온 루테인 30캡슐, 5개",루테인,1주차,18230.0,1.0
네이버,"(쇼핑백 포함), 클라리온 루테인 30캡슐, 6개",루테인,1주차,43240.0,2.0
네이버,"(쇼핑백 포함), 클라리온 멀티비타민 30정, 6개",멀티비타민,1주차,59530.0,3.0
네이버,"(쇼핑백 포함), 클라리온 멀티비타민 30정, 6개",멀티비타민,2주차,24390.0,1.0
네이버,"(쇼핑백 포함), 클라리온 비타민C 30정, 5개",비타민C,3주차,20400.0,1.0
네이버,"(쇼핑백 포함), 클라리온 유기농 올리브오일 30캡슐, 5개",올리브오일,1주차,18230.0,1.0
네이버,"(쇼핑백 포함), 클라리온 유기농 올리브오일 30캡슐, 5개",올리브오일,2주차,40800.0,2.0
네이버,"(쇼핑백 포함), 클라리온 유기농 올리브오일 30캡슐, 6개",올리브오일,1주차,120820.0,6.0
네이버,"(쇼핑백 포함), 클라리온 유기농 올리브오일 30캡슐, 6개",올리브오일,2주차,75170.0,3.0
네이버,"(쇼핑백 포함), 클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 30캡슐, 5개",코엔자임Q10,3주차,21400.0,1.0
네이버,"(쇼핑백 포함), 클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 30캡슐, 6개",코엔자임Q10,1주차,84480.0,4.0
네이버,"(쇼핑백 포함), 클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 30캡슐, 6개",코엔자임Q10,3주차,25390.0,1.0
네이버,"(쇼핑백 포함), 클라리온 혈당컷 다이어트 30정, 5개",혈당컷,1주차,18230.0,1.0
네이버,"(쇼핑백 포함), 클라리온 혈당컷 다이어트 30정, 6개",혈당컷,1주차,79980.0,4.0
네이버,"(쇼핑백 포함), 트리플 마그네슘 400 30정, 6개",마그네슘,1주차,20620.0,2.0
네이버,"(쇼핑백 포함), 트리플 마그네슘 400 30정, 6개",마그네슘,2주차,25390.0,1.0
네이버,클라라온 인기상품 11종 6개 골라담기 알티지 오메가3 / 올리브오일 / 비타민 / 루테인 / 밀크씨슬,세트/기획전,2주차,116150.0,5.0
네이버,클라라온 인기상품 11종 6개 골라담기 알티지 오메가3 / 올리브오일 / 비타민 / 루테인 / 밀크씨슬,세트/기획전,3주차,157830.0,7.0
